H2SO4,HNO3,HCl,NH3,NO,NO2,NO3,N2O5,HONO,HNO4,O3,O1D,O3P,OH,HO2,H2O2,CO,SO2,CH4,C2H6,CH3O2,ETHP,HCHO,CH3OH,ANOL,CH3OOH,ETHOOH,ALD2,HCOOH,RCOOH,C2O3,PAN,ARO1,ARO2,ALK1,OLE1,API1,API2,LIM1,LIM2,PAR,AONE,MGLY,ETH,OLET,OLEI,TOL,XYL,CRES,TO2,CRO,OPEN,ONIT,ROOH,RO2,ANO2,NAP,XO2,XPAR,ISOP,ISOPRD,ISOPP,ISOPN,ISOPO2,API,LIM,DMS,MSA,DMSO,DMSO2,CH3SO2H,CH3SCH2OO,CH3SO2,CH3SO3,CH3SO2OO,CH3SO2CH2OO,SULFHOX,Num,DpgN,Sigmag,JHyst,Water,SO4,PNO3,Cl,NH4,PMSA,Aro1,Aro2,Alk1,Ole1,PApi1,PApi2,Lim1,Lim2,CO3,Na,Ca,Oin,OC,BC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,30,50,20,20,0.1,0.1,0.2,2,300,0.1,0.1,0.1,0.5,50,500,20,1900,2,2,2,50,20,20,30,5,50,5,20,10,30,50,50,50,50,10,10,10,10,50,50,50,50,50,50,100,100,1,10,10,20,50,20,10,10,10,10,30,10,20,10,10,10,10,10,0.1,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,45,1,2,1,2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2,2,2
